SGI,med_10m,med_20m
A54e-33,-0.006,-0.0
A54e-34,-0.302,-0.008
A54e-35,-1.088,-0.67
A54e-36,-0.306,-0.0175
A54e-37,-0.097,0
A54e-38,-0.4375,-0.1895
A54e-40,0,0
A54e-41,0,0
A54e-42,0,0
A54e-43,-0.3725,0
A54f-01,-0.7015,0
A54f-02,-0.0765,0
A54f-03,-0.386,-0.0725
A54f-04,-0.344,0
A54f-06,-1.5905,-0.7124999999999999
A54f-07,0,0
A54f-08,-0.5575000000000001,0
A54f-09,-0.7755000000000001,-0.294
A54f-10,-0.6845000000000001,-0.2385
A54f-11,-1.13,-0.486
A54f-12,-0.066,0
A54f-13,-0.8,-0.212
A54f-14,-1.2795,-0.4635
A54f-15,-1.516,-0.7375
A54g-02,-1.1205,-0.592
A54g-04,-0.95,-0.593
A54g-06,-0.9215,-0.4165
A54g-07,-0.9085000000000001,-0.3865
A54g-08,0,0
A54g-09,-2.4355,-1.613
A54g-10,-1.75,-1.079
A54g-12,0,0
A54g-13,0,0
A54g-14,-1.983,-1.149
A54g-15,-1.4289999999999998,-0.372
A54g-16,-2.17,-1.2555
A54g-17,-0.59,0
A54g-18,-1.0795,-0.62
A54g-19,-1.7805,-0.9305000000000001
A54g-20,-1.067,-0.507
A54g-21,-1.0845,-0.5085
A54g-23,-0.5305,-0.246
A54g-24,-0.7975000000000001,-0.3875
A54g-26,-0.0915,-0.020499999999999997
A54g-28,-0.287,0
A54g-32,-0.306,0
A54g-33,-0.8285,-0.281
A54g-34,-0.675,0
A54g-43,-0.9185000000000001,-0.504
A54g-45,-0.2965,0
A54g-47,-1.5835,-0.844
A54g-48,-3.5445,-1.931
A54g-49,-2.375,-1.0725
A54g-52,0,0
A54g-55,-0.724,-0.3055
A54g-56,-0.657,-0.143
A54g-57,-1.2315,-0.6355
A54g-58,0,0
A54g-59,-1.1945000000000001,-0.534
A54g-60,0,0
A54g-63,0,0
A54g-64,-0.0945,0
A54g-66,-0.073,0
A54g-67,-0.078,0
A54g-68,-0.479,-0.056999999999999995
A54g-69,-0.688,-0.321
A54h-01,0,0
A54h-02,0,0
A54h-03,-0.765,-0.438
A54h-05,-0.3345,-0.118
A54h-06,-0.4765,-0.244
A54h-07,-0.0685,-0.0175
A54h-08,-0.3605,0
A54h-09,-0.9444999999999999,-1.6015000000000001
A54h-10,0,0
A54h-11,-0.1555,-0.079
A54i-01,-0.256,-0.057999999999999996
A54i-06,0,0
A54i-07,-1.1284999999999998,-0.552
A54i-08,-0.9435,-0.464
A54i-10,0,0
A54i-11,0,0
A54i-12,0,0
A54i-13,-0.398,0
A54i-14,0,0
A54i-15,-0.1735,0
A54i-17,-0.367,0
A54i-18,0,0
A54i-20,-0.341,0
A54i-21,-1.277,-0.457
A54i-22,-0.6105,-0.326
A54i-23,0,0
A54i-24,-0.411,-0.1205
A54i-25,-0.186,0
A54i-26,-0.1085,0
A54j-01,-0.195,-0.0415
A54j-04,-0.2365,-0.12
A54j-05,-0.4795,0
A54j-06,-0.088,0
A54j-07,-0.332,-0.175
A54j-08,-4.093,-2.087
A54j-09,-3.018,-1.561
A54l-02,-3.6325000000000003,-1.84
A54l-03,-0.845,-0.4645
A54l-06,0,0
A54l-08,0,0
A54l-09,-2.729,-1.6275
A54l-10,-1.1315,-0.6765000000000001
A54l-11,-2.1384999999999996,-1.3415
A54l-12,-1.0065,-0.4175
A54l-14,0,0
A54l-15,-0.3995,-0.1745
A54l-16,-1.269,-0.585
A54l-17,-1.916,-1.7755
A54l-20,-0.346,-0.1975
A54l-22,-3.8545,-2.061
A54l-23,-0.9384999999999999,-0.5395000000000001
A54l-24,0,0
A54l-25,-0.5825,-0.0665
A54l-28,-1.9144999999999999,-1.057
A54l-29,-2.0069999999999997,-1.121
A54l-30,0,0
A54l-32,-0.9225000000000001,-0.5085
A54l-33,-0.7555000000000001,-0.5375000000000001
A54l-34,-2.835,-1.7205
A54l-35,-3.7859999999999996,-1.638
A54l-37,-3.855,-1.9375
A54l-38,0,0
A54l-39,-0.1625,-0.0205
A54m-00,-3.76,-2.1155
A54m-01,-0.2595,-0.1265
A54m-02,-0.1845,-0.071
A54m-04,-0.6154999999999999,-0.611
A54m-07,-1.2285,-0.4805
A54m-08,-0.244,-0.029
A54m-09,-0.235,-0.0985
A54m-10,-5.7844999999999995,-3.004
A54m-13,-1.359,-0.8185
A54m-14,-0.9884999999999999,-0.165
A54m-15,0,0
A54m-16,-0.7235,-0.4635
A54m-17,-0.004,-0.003
A54m-18,-1.318,-0.5355000000000001
A54m-22,-0.9844999999999999,-0.428
A54m-24,0,0
