SGI,med_10m,med_20m
A51h-11,-0.2895,-0.089
A51h-13,0,0
A51h-14,-0.397,-0.205
A51h-15,-0.39849999999999997,-0.1125
A51h-16,-0.1165,-0.0435
A51h-20,0,0
A51h-22,-0.1805,-0.0505
A51h-23,-0.306,-0.084
A51h-24,-0.4835,-0.099
A51h-25,0,0
A54e-01,-0.552,-0.209
A54e-02,-2.0995,-1.036
A54e-05,-0.4995,-0.2305
A54e-07,-0.551,-0.238
A54e-09,0,0
A54e-10,-0.7295,-0.311
A54e-14,-0.7575000000000001,-0.312
A54e-15,-0.634,-0.267
A54e-16,-0.695,-0.2795
A54e-17,-0.3205,0
A54e-19,0,0
A54e-20,-0.73,-0.2615
A54e-21,-1.0385,-0.3985
A54e-23,-2.0585,-0.793
A54e-26,0,0
A54e-27,-0.203,-0.058499999999999996
A54e-30,-0.276,-0.076
A54e-33,-0.8154999999999999,-0.2905
A54e-34,-0.4095,-0.1025
A54e-35,-0.5714999999999999,-0.266
A54e-36,-0.647,-0.297
A54e-37,-0.4255,-0.1065
A54e-38,-0.002,-0.002
A54e-40,0,0
A54e-41,0,0
A54e-42,0,0
A54e-43,-0.121,-0.02
A54f-01,-0.0185,0
A54f-02,-0.092,-0.0235
A54f-03,-0.4565,-0.175
A54f-04,-0.499,-0.15
A54f-06,-2.3895,-1.2890000000000001
A54f-07,0,0
A54f-08,-0.554,-0.1535
A54f-09,-0.822,-0.3335
A54f-10,-0.798,-0.322
A54f-11,-1.265,-0.4765
A54f-12,-0.301,-0.057
A54f-13,-0.0935,-0.006500000000000001
A54f-14,-1.853,-0.647
A54f-15,-1.4805000000000001,-0.6805000000000001
A54g-02,-0.713,-0.391
A54g-04,-1.34,-0.6884999999999999
A54g-06,-1.0735000000000001,-0.5305
A54g-07,-0.8835,-0.3985
A54g-08,0,0
A54g-09,-0.164,-0.069
A54g-10,-1.6705,-0.882
A54g-12,0,0
A54g-13,0,0
A54g-14,-1.1640000000000001,-0.493
A54g-15,-1.946,-1.0135
A54g-16,-1.547,-0.7144999999999999
A54g-17,-1.5215,-0.6695
A54g-18,-1.1135000000000002,-0.529
A54g-19,-1.778,-0.8965000000000001
A54g-20,-1.1524999999999999,-0.549
A54g-21,-1.033,-0.4935
A54g-23,-0.0205,-0.009
A54g-24,-0.813,-0.3695
A54g-26,-0.126,-0.027999999999999997
A54g-28,-0.2645,-0.075
A54g-32,-0.465,-0.191
A54g-33,-0.893,-0.483
A54g-34,-0.5585,-0.1465
A54g-43,-1.033,-0.5515000000000001
A54g-45,-0.839,-0.3065
A54g-47,-2.2695,-1.2065000000000001
A54g-48,-2.1505,-0.9755
A54g-49,-3.4204999999999997,-1.525
A54g-52,0,0
A54g-55,-1.049,-0.5185
A54g-56,-0.5674999999999999,-0.192
A54g-57,-1.3005,-0.698
A54g-58,0,0
A54g-59,-1.1604999999999999,-0.549
A54g-60,0,0
A54g-63,-0.0475,0
A54g-64,-0.0995,0
A54g-66,-0.127,-0.0645
A54g-67,-0.035500000000000004,-0.004
A54g-68,-0.6054999999999999,-0.1775
A54g-69,-0.6525000000000001,-0.2825
A54h-01,0,0
A54h-02,0,0
A54h-03,-0.2325,-0.084
A54h-05,-0.332,-0.0935
A54h-06,-0.226,-0.077
A54h-07,-0.181,-0.053
A54h-08,-1.075,-0.5235000000000001
A54h-09,-0.276,-0.066
A54h-10,0,0
A54h-11,-0.0975,-0.0545
A54i-01,-0.034,-0.012
A54i-06,0,0
A54i-07,-1.211,-0.5395000000000001
A54i-08,-0.928,-0.402
A54i-10,0,0
A54i-11,0,0
A54i-12,0,0
A54i-13,-0.2105,-0.0545
A54i-14,0,0
A54i-15,-0.3415,-0.087
A54i-17,-0.181,0
A54i-18,0,0
A54i-20,-0.3915,-0.1235
A54i-21,-1.6265,-0.7235
A54i-22,-0.5,-0.181
A54i-23,0,0
A54i-24,-0.856,-0.3445
A54i-25,-0.063,-0.021
A54i-26,-0.183,-0.0745
A54j-01,-0.14,-0.049
A54j-04,-0.301,-0.1645
A54j-05,-0.699,-0.2915
A54j-06,-0.004,0
A54j-07,-0.317,-0.177
A54j-08,-1.757,-0.751
A54j-09,-0.515,-0.1965
A54l-02,-0.7505,-0.3145
A54l-03,-0.661,-0.3075
A54l-06,0,0
A54l-08,0,0
A54l-09,-1.0154999999999998,-0.448
A54l-10,-0.628,-0.27
A54l-11,-1.4245,-0.6105
A54l-12,-0.319,-0.128
A54l-14,0,0
A54l-15,-0.447,-0.173
A54l-16,-0.953,-0.4135
A54l-17,-4.323,-1.9745
A54l-20,-0.314,-0.1355
A54l-22,-2.836,-1.234
A54l-23,-0.6795,-0.2885
A54l-24,0,0
A54l-25,-0.642,-0.2695
A54l-28,-1.7654999999999998,-0.881
A54l-29,-2.0995,-1.0655000000000001
A54l-30,0,0
A54l-32,-0.939,-0.483
A54l-33,-2.464,-1.0314999999999999
A54l-34,-3.982,-2.2115
A54l-35,-1.1895,-0.459
A54l-37,-2.3935,-0.911
A54l-38,0,0
A54l-39,-0.28,-0.093
A54m-00,-0.0405,-0.0185
A54m-01,-0.0,-0.0
A54m-02,-0.224,-0.086
A54m-04,-0.5714999999999999,-0.1945
A54m-07,-0.0,-0.0
A54m-08,-1.0955,-0.555
A54m-09,-0.008,-0.005
A54m-10,-0.066,-0.04
A54m-13,-2.519,-1.209
A54m-14,-1.432,-0.5465
A54m-15,0,0
A54m-16,-0.612,-0.307
A54m-17,-0.1905,-0.0725
A54m-18,-1.8845,-0.7805
A54m-22,-0.684,-0.2585
A54m-24,0,0
A54m-25,-2.0625,-0.7725
A54m-26,-0.001,-0.001
A54m-27,-0.157,-0.058499999999999996
A54m-28,-0.005,-0.002
A54m-30,-0.051,-0.014
A54m-31,-0.039,-0.022
A54m-32,-0.2345,-0.1275
A54m-33,-0.3935,-0.1385
A54m-34,-0.236,-0.082
A54m-37,-3.946,-1.942
A54m-38,-0.278,-0.098
A54m-39,-0.691,-0.2635
A54m-41,-0.4535,-0.1795
A54m-42,-1.2915,0
A54m-44,-0.7765,-0.2815
A54m-45,-0.5,-0.1955
A54m-46,-0.047,-0.013
A54m-50,-1.3915,-0.66
A54m-51,-0.394,-0.0635
A54m-52,-0.5845,-0.154
A54m-53,-0.0665,-0.007
A54m-55,-0.2965,-0.1105
A54m-56,-0.08,-0.028
A54m-57,-0.022,-0.01
A54m-59,-0.016,-0.008
A54m-60,0,0
A55a-02,0,0
A55a-03,-0.4585,-0.1915
A55a-06,-0.351,-0.129
A55a-07,-0.645,-0.2835
A55a-08,-0.4125,-0.1995
A55a-09,-0.373,-0.1625
A55a-10,0,0
A55a-11,-1.201,-0.47
A55a-13,-0.6745000000000001,-0.3735
A55a-15,-0.011,-0.007
A55a-16,0,0
A55b-03,-0.248,0
A55b-04,-0.06,-0.019
A55b-05,-0.58,-0.233
A55b-06,0,0
A55b-07,0,0
A55b-08,0,0
A55b-09,-0.537,-0.2135
A55b-10,-1.3855,-0.7135
A55b-11,-0.625,-0.256
A55b-12,-0.1135,-0.041
A55b-14,-0.465,-0.173
A55b-15,-0.5365,-0.1655
A55b-16,0,0
A55b-17,-0.388,-0.1465
A55b-21,-0.0775,-0.032
A55b-22,-0.655,-0.105
A55b-24,-0.022,-0.006500000000000001
A55b-25,-0.2395,-0.0955
A55b-26,-0.4505,-0.172
A55b-27,-0.02,-0.01
A55b-28,-0.7035,-0.2885
A55b-30,-0.7475,-0.3065
A55b-31,0,0
A55b-32,0,0
A55b-33,-0.1655,-0.043
A55b-34,0,0
A55b-35,0,0
A55b-36,-0.303,-0.089
A55b-37,-0.9944999999999999,-0.35450000000000004
A55b-38,0,0
A55b-39,-0.081,0
A55b-43,-1.147,-0.4805
A55c-01,-1.3039999999999998,-0.6154999999999999
A55c-03,-0.107,-0.036
A55c-04,0,0
A55c-07,-0.387,-0.136
A55c-09,-0.601,-0.285
A55c-11,0,0
A55c-14,-0.668,-0.303
A55c-16,-0.72,-0.3995
A55c-18,0,0
A55c-19,-0.385,-0.1485
A55c-21,0,0
A55c-25,0,0
A55c-26,-1.1139999999999999,-0.301
A55d-04,0,0
A55d-05,-0.253,-0.097
A55d-08,0,0
A55f-01,0,0
A55f-04,-0.536,-0.257
A55f-05,-0.4825,-0.19
A55f-07,-1.092,-0.516
A56d-01,0,0
A56d-02,0,0
A56d-04,0,0
A56d-05,-0.414,-0.193
A56d-06,-0.8075000000000001,-0.436
B16-01,-0.5,-0.237
B16-03,-0.3265,-0.138
B16-05,-0.397,-0.1565
B16-07,-0.654,-0.295
B16-09,0,0
B16-10,0,0
B16-12,0,0
B17-02,-0.049,-0.016
B17-03,-0.2185,-0.109
B17-04,-0.203,-0.096
B17-08,-0.217,-0.093
B17-10,-0.2205,0
B21-05,0,0
B22-04,-1.045,-0.5475000000000001
B23-03,-0.3275,-0.111
B23-07,0,0
B23-09,-0.51,-0.2575
B24-04,-0.124,-0.044
B25-03,-0.209,-0.0755
B25-04,-0.2545,-0.086
B25-07,-0.4515,-0.1915
B30-02,-0.5965,-0.298
B30-04,-0.6685000000000001,-0.3525
B30-05,-0.905,-0.441
B30-12,-0.763,-0.353
B30-13,-0.813,-0.3905
B30-15,0,0
B30-23,0,0
B30-24,-0.833,-0.1435
B31-01,-0.806,-0.315
B31-03,-1.1535,-0.441
B31-05,-0.0,0
B31-06,-0.9535,-0.338
B31-07,-1.577,-0.555
B31-08,-0.705,-0.2765
B31-09,-1.0234999999999999,-0.435
B31-10,-0.5834999999999999,-0.207
B31-12,-0.89,-0.4355
B31-14,-0.646,-0.308
B31-15,0,0
B31-16,-1.0065,-0.409
B31-20,0,0
B31-21,0,0
B31-22,0,0
B31-23,0,0
B31-24,-1.041,-0.34299999999999997
B31-25,-0.158,-0.07
B31-26,-1.8105,-0.702
B32-02,-0.2965,-0.096
B32-03,-1.1629999999999998,-0.4715
B32-04,-1.2015,-0.605
B32-05,-1.5785,-0.703
B32-06,-0.07100000000000001,-0.0245
B32-07,-0.909,-0.387
B32-08,-0.4935,-0.1465
B32-09,-0.5555000000000001,-0.1795
B32-10,-1.7825,-0.782
B32-11,-1.7355,-0.649
B32-12,-1.6644999999999999,-0.545
B32-14,-0.5634999999999999,-0.2025
B32-17,-0.879,-0.338
B32-19,-1.7515,-0.8405
B32-24,-0.828,-0.254
B33-02,0,0
B33-03,-0.7755000000000001,-0.328
B33-04,-0.62,-0.238
B33-05,0,0
B33-06,-0.3665,-0.118
B33-07,-0.7715000000000001,-0.317
B33-08,0,0
B33-10,-0.631,-0.2095
B34-01,-0.275,0
B34-04,-0.4015,-0.127
B34-05,-2.9485,-1.5535
B34-07,-0.287,-0.1065
B34-08,-1.197,-0.506
B35-01,0,0
B35-02,-2.0105,-1.0154999999999998
B35-03,-0.286,-0.0095
B35-05,-2.549,-1.47
B35-06,0,0
B35-07,0,0
B35-09,-1.559,-0.4495
B35-10,-2.253,-1.307
B35-11,-1.1015000000000001,-0.569
B36-02,-0.505,-0.222
B36-03,0,0
B36-04,0,0
B36-05,-1.8639999999999999,-0.896
B36-07,-1.174,-0.442
B36-08,0,0
B36-09,0,0
B36-10,0,0
B36-11,-0.943,-0.3815
B36-12,-1.1644999999999999,-0.5025
B36-13,-1.407,-0.5235000000000001
B36-15,-0.6855,-0.2855
B36-16,-3.0735,-1.4405000000000001
B36-18,0,0
B36-19,-0.3345,-0.114
B36-20,-0.3665,-0.1425
B36-22,-2.084,-1.3045
B36-23,-1.5135,-0.718
B36-24,-1.6509999999999998,-0.9135
B36-25,-1.4545,-0.7905
B36-27,-0.795,-0.1105
B36-28,-1.16,-0.52
B36-30,-2.7119999999999997,-1.209
B36-31,0,0
B36-32,-1.6815,-0.846
B36-33,-1.6255,-0.743
B36-35,-3.8845,-1.709
B36-37,0,0
B36-38,-1.829,-0.7605
B36-39,-0.7715000000000001,-5.0745000000000005
B36-40,-3.638,-1.4855
B36-41,-1.1955,-0.4035
B36-44,-0.783,-0.1125
B36-46,-0.117,-0.052
B36-47,-0.4545,-0.0525
B36-50,-0.547,-0.218
B36-51,-1.043,-0.3155
B36-52,-1.951,-0.868
B36-53,-1.5965,-0.3125
B36-54,-1.8969999999999998,-0.798
B36-56,-1.8975,-0.9345000000000001
B40-01,0,0
B40-03,-0.6174999999999999,-0.288
B40-04,-2.8325,-1.6985000000000001
B40-05,-0.4585,-0.2125
B40-10,-0.321,0
B40-11,-0.848,0
B40-12,-0.7875000000000001,-0.3195
B40-13,-1.8010000000000002,-0.908
B40-15,-0.903,-0.0835
B40-19,0,0
B40-20,-1.5594999999999999,-0.3335
B41-02,-0.735,-0.3765
B41-03,-0.7404999999999999,0
B41-04,-1.507,-0.879
B41-05,0,0
B41-10,-0.562,0
B41-11,-0.9575,-0.5215000000000001
B41-15,-0.416,-0.1745
B43-01,-0.472,-0.142
B43-02,-1.5735000000000001,-0.753
B43-05,0,0
B43-06,0,0
B43-08,0,0
B43-09,0,0
B43-10,-0.38,-0.074
B43-11,0,0
B43-13,-1.33,-0.6125
B44-03,-0.824,-0.3925
B44-10,-0.8574999999999999,-0.376
B44-11,-0.633,-0.281
B44-12,-0.3955,-0.13
B44-16,-0.485,-0.18
B44-17,0,0
B44-19,-0.8734999999999999,-0.4175
B44-20,-0.446,-0.1995
B44-22,0,0
B44-23,-0.3545,-0.171
B44-24,-1.314,-0.8385
B44-28,-0.922,-0.4475
B44-29,-0.683,-0.315
B44-30,-1.1125,-0.574
B45-02,-0.7755000000000001,-0.3875
B45-03,-0.2085,-0.071
B45-05,-0.5145,-0.2625
B45-06,-0.637,-0.3645
B45-07,-0.1895,-0.0665
B45-08,-0.66,-0.351
B45-11,-0.217,-0.1375
B45-15,-0.7355,-0.3185
B45-20,-0.3755,-0.139
B45-25,-1.248,-0.6924999999999999
B45-26,-0.5345,-0.251
B45-29,-0.94,-0.5415000000000001
B45-32,-1.0385,-0.549
B46-02,-2.05,-1.0979999999999999
B46-04,-0.7785,-0.4215
B46-05,-0.997,-0.619
B46-06,-1.627,-0.9315
B46-07,-1.3395000000000001,-0.858
B46-10,-1.108,-0.636
B46-11,-0.656,-0.362
B46-13,0,0
B46-16,0,0
B46-17,-0.9295,-0.481
B46-20,-0.2855,-0.119
B46-22,-0.723,-0.417
B46-23,-0.2055,-0.073
B46-25,-1.8935,-0.9804999999999999
B46-30,-1.115,-0.729
B46-31,-1.263,-0.61
B46-34,-0.831,-0.4265
B46-36,-0.328,-0.165
B46-37,-0.4625,-0.191
B46-39,-0.01,0
B46-42,-1.0979999999999999,-0.6305000000000001
B46-43,-1.772,-1.041
B46-44,-0.4005,-0.195
B46-45,-0.3335,-0.172
B46-46,0,0
B47-01,-0.527,-0.274
B47-02,0,0
B47-03,-0.8385,-0.366
B47-05,-0.5025,-0.168
B47-13,-0.112,-0.036
B47-16,-2.3890000000000002,-1.3185
B50-02,0,0
B51-02,-1.817,-0.8825000000000001
B51-04,-3.315,-1.8199999999999998
B51-05,0,0
B51-06,-1.475,-0.617
B51-08,-2.2685,-0.951
B51-09,0,0
B51-10,-2.7984999999999998,-1.5394999999999999
B51-12,-3.054,-1.9215
B51-14,-2.68,-1.2639999999999998
B52-04,-1.116,-0.447
B52-05,0,0
B52-06,0,0
B52-08,-1.3,-0.508
B52-11,0,0
B52-12,-0.9715,-0.4545
B52-13,-1.066,-0.454
B52-17,-0.1085,-0.039
B52-20,0,0
B52-21,0,0
B52-25,0,0
B52-26,-1.302,-0.5175000000000001
B52-27,-1.2115,-0.5315000000000001
B52-28,-0.5705,-0.278
B52-31,-0.4725,-0.15
