SGI,med_10m,med_20m
A51f-79,0,0
A51f-80,0,0
A51f-81,-0.3665,-0.122
A51f-83,-0.006,-0.003
A51f-84,-0.0115,0
A51g-01,-0.0,-0.0
A51g-02,-0.004,-0.002
A51g-03,0,0
A51g-04,0,0
A51g-07,0,0
A51g-09,-0.0,-0.0
A51g-10,-0.0005,-0.0
A51g-12,0,0
A51g-13,-0.0,-0.0
A51g-14,0,0
A51g-15,-0.1935,-0.0495
A51g-16,0,0
A51g-17,-0.2855,-0.08499999999999999
A51g-19,-0.1755,-0.0175
A51h-02,0,0
A51h-04,-0.003,-0.002
A51h-05,-0.4145,0
A51h-06,0,0
A51h-08,-0.202,-0.061
A51h-10,-0.005,-0.002
A51h-11,-0.0,-0.0
A51h-13,0,0
A51h-14,-0.0,-0.0
A51h-15,-0.17149999999999999,-0.037
A51h-16,-0.038,-0.015
A51h-20,0,0
A51h-22,-0.045,-0.012
A51h-23,-0.1765,-0.0505
A51h-24,-0.277,0
A51h-25,0,0
A54e-01,-0.0,-0.0
A54e-02,-0.0325,-0.009
A54e-05,-0.102,-0.013
A54e-07,-0.002,-0.001
A54e-09,0,0
A54e-10,-0.1125,-0.0225
A54e-14,-0.529,-0.168
A54e-15,-0.552,-0.188
A54e-16,-0.705,-0.283
A54e-17,-1.588,-0.7835000000000001
A54e-19,0,0
A54e-20,-0.0,-0.0
A54e-21,-0.296,-0.0815
A54e-23,-0.69,-0.20400000000000001
A54e-26,0,0
A54e-27,-0.057,-0.008
A54e-30,-0.0,-0.0
A54e-33,-0.207,0
A54e-34,-0.388,0
A54e-35,-0.019,-0.007
A54e-36,-0.1035,0
A54e-37,-0.0905,-0.021
A54e-38,-0.157,-0.037
A54e-40,0,0
A54e-41,0,0
A54e-42,0,0
A54e-43,-0.112,-0.017
A54f-01,-0.344,0
A54f-02,-0.0,-0.0
A54f-03,-0.158,-0.024
A54f-04,-0.1485,0
A54f-06,-1.2425000000000002,-0.4145
A54f-07,0,0
A54f-08,-0.652,-0.175
A54f-09,-0.286,-0.0755
A54f-10,-0.6,-0.252
A54f-11,-0.922,-0.263
A54f-12,-0.1165,0
A54f-13,0,0
A54f-14,-0.552,-0.134
A54f-15,-1.0675,-0.376
A54g-02,-0.034,-0.013
A54g-04,-0.003,-0.003
A54g-06,-0.036,-0.014
A54g-07,-0.112,-0.033
A54g-08,0,0
A54g-09,-1.072,-0.4775
A54g-10,-0.1365,-0.058499999999999996
A54g-12,0,0
A54g-13,0,0
A54g-14,-0.072,-0.0295
A54g-15,-0.2325,-0.0755
A54g-16,-0.2215,-0.081
A54g-17,-1.834,0
A54g-18,-0.5295000000000001,-0.221
A54g-19,-0.5085,-0.1825
A54g-20,0,0
A54g-21,-0.218,-0.056
A54g-23,-0.243,-0.0575
A54g-24,-0.1575,-0.04
A54g-26,-0.014499999999999999,-0.007
A54g-28,-0.078,-0.035500000000000004
A54g-32,-0.1485,-0.052
A54g-33,-0.6525000000000001,-0.311
A54g-34,-0.008,0
A54g-43,-0.257,-0.088
A54g-45,-0.1585,0
A54g-47,-0.3475,-0.1455
A54g-48,-0.196,-0.086
A54g-49,-0.0,-0.0
A54g-52,0,0
A54g-55,-0.305,0
A54g-56,0,0
A54g-57,-1.87,-1.1125
A54g-58,0,0
A54g-59,-0.8154999999999999,-0.283
A54g-60,0,0
A54g-63,-0.0205,-0.037
A54g-64,-0.1275,-0.042499999999999996
A54g-66,-0.141,-0.0435
A54g-67,-0.1415,-0.037
A54g-68,-0.08,-0.03
A54g-69,-0.038,-0.013
A54h-01,0,0
A54h-02,0,0
A54h-03,-0.0,-0.0
A54h-05,-0.035500000000000004,-0.013
A54h-06,-0.0395,-0.014
A54h-07,-0.0,-0.0
A54h-08,-0.006,-0.002
A54h-09,-0.1565,-0.1455
A54h-10,0,0
A54h-11,-0.0,0
A54i-01,-0.0245,-0.0095
A54i-06,0,0
A54i-07,-0.7665,-0.2955
A54i-08,-0.136,-0.039
A54i-10,0,0
A54i-11,0,0
A54i-12,0,0
A54i-13,-0.239,0
A54i-14,0,0
A54i-15,-0.016,0
A54i-17,-0.0635,0
A54i-18,0,0
A54i-20,-0.1845,-0.033
A54i-21,0,0
A54i-22,-0.2415,-0.069
A54i-23,0,0
A54i-24,-0.13,-0.038
A54i-25,-0.005,-0.002
A54i-26,-0.044,-0.011
A54j-01,-0.001,-0.002
A54j-04,-0.0,-0.0
A54j-05,-0.577,-0.2145
A54j-06,-0.002,0
A54j-07,-0.0,-0.0
A54j-08,-0.043,-0.017
A54j-09,-0.0415,0
A54l-02,-0.018,-0.011
A54l-03,-0.33,-0.1415
A54l-06,0,0
A54l-08,0,0
A54l-09,-0.132,-0.053
A54l-10,-0.002,-0.001
A54l-11,-0.18,-0.073
A54l-12,-0.0,-0.0
A54l-14,0,0
A54l-15,-0.0,-0.0
A54l-16,-0.0,-0.0
A54l-17,-0.7304999999999999,-0.4515
A54l-20,-0.7115,-0.29
A54l-22,-0.112,-0.051
A54l-23,-0.01,-0.006
A54l-24,0,0
A54l-25,0,0
A54l-28,-0.0815,-0.031
A54l-29,-1.9064999999999999,-0.7255
A54l-30,0,0
A54l-32,-0.006,-0.004
A54l-33,-0.163,-0.0785
