<FG2 'FG2-SHELL V4.04a' (Mai 11 2023) NOW(UTC):12.06.2024 15:26:23>
<FILE: C:\FG2_Shell_V3\data/A5389E/raw/A5389E_20240612162616.f2b>
<LOGGER: $A5389E>
<FILESIZE: 28185 Bytes>
<MEMORY CLEAR>
<ERROR: PARAMETER SET NOT FOUND(1): C:\FG2_Shell_V3\data/A5389E/par/A5389E_20231011085432.f2p (Line 0)>
<PERIOD: 86400 sec>
<TIME: 07.02.2024 09:23:04>
<HK-BATUSED: 49,2 % (CALC)>
NO;TIME;#1:(unk.);#2:(unk.);#3:(unk.);#4:(unk.);#5:(unk.);#6:(unk.);#7:(unk.);#8:(unk.);#9:(unk.);#10:(unk.);#11:(unk.);#12:(unk.);#13:(unk.);#14:(unk.);#15:(unk.);#16:(unk.);#17:(unk.);#18:(unk.);#19:(unk.);#20:(unk.);HK-TEMP:oC;HK-BAT:V
1;07.02.2024 09:23:04;15,1332;15,094;15,2352;15,3607;15,4706;15,4313;15,0862;14,992;15,3999;15,2823;14,9528;15,0391;15,3921;15,0234;14,8665;15,1725;15,4156;15,2744;14,8822;15,6039;9,44;3,625
<NEW PAR>
<ERROR: PARAMETER SET NOT FOUND(1): C:\FG2_Shell_V3\data/A5389E/par/A5389E_20240207092344.f2p (Line 1)>
<PERIOD: 1800 sec>
<TIME: 07.02.2024 09:24:12>
<HK-BATUSED: 49,2 % (CALC)>
NO;TIME;#1:(unk.);#2:(unk.);#3:(unk.);#4:(unk.);#5:(unk.);#6:(unk.);#7:(unk.);#8:(unk.);#9:(unk.);#10:(unk.);#11:(unk.);#12:(unk.);#13:(unk.);#14:(unk.);#15:(unk.);#16:(unk.);#17:(unk.);#18:(unk.);#19:(unk.);#20:(unk.);HK-TEMP:oC;HK-BAT:V
2;07.02.2024 09:24:12;15,1411;15,094;15,2352;15,3607;15,4706;15,4313;15,094;14,992;15,3999;15,2823;14,9607;15,0312;15,3842;15,0234;14,8665;15,1646;15,4156;15,2744;14,8822;15,5882;9,87;3,626
<TIME: 07.02.2024 09:30:00>
3;07.02.2024 09:30:00;15,1411;15,094;15,2352;15,345;15,4627;15,4313;15,1097;14,992;15,3764;15,2823;14,9685;15,0234;15,3764;15,0391;14,8744;15,1489;15,3999;15,2823;14,8901;15,5333;9,87;3,630
129;04.03.2024 00:00:00;8,80138;8,74658;8,84836;8,85619;8,89534;8,94231;8,82486;8,79355;8,8327;8,95796;8,75441;8,80138;8,89534;8,81705;8,76225;8,79355;8,91098;8,95796;8,84836;8,64482
130;05.03.2024 00:00:00;9,08324;9,0441;9,14587;9,14587;9,18503;9,20851;9,09889;9,10674;9,13022;9,21634;9,02843;9,11456;9,17719;9,08324;9,06758;9,10674;9,18503;9,22418;9,13022;8,91882
131;06.03.2024 00:00:00;8,56653;8,59;8,62132;8,65263;8,69179;8,73093;8,60567;8,62915;8,65263;8,57436;8,49608;8,62915;8,67613;8,59784;8,57436;8,60567;8,66046;8,7231;8,69962;8,62915
132;07.03.2024 00:00:00;8,19078;8,19078;8,24557;8,27689;8,31602;8,37082;8,23776;8,24557;8,27689;8,23776;8,14383;8,24557;8,32387;8,22209;8,20645;8,26906;8,3082;8,34734;8,29254;8,28471
133;08.03.2024 00:00:00;7,88553;7,86205;8,01859;7,9951;7,98727;7,9325;7,83856;7,96379;7,94814;7,73683;7,79944;7,96379;7,86205;7,7603;7,90901;7,90901;7,85423;7,88553;7,94814;7,94032
134;09.03.2024 00:00:00;8,23776;8,22209;8,33951;8,33168;8,28471;8,28471;8,17514;8,23776;8,22992;8,15947;8,12035;8,20645;8,19861;8,12035;8,1673;8,19078;8,17514;8,2534;8,28471;8,13599
135;10.03.2024 00:00:00;8,42561;8,40213;8,45692;8,42561;8,4491;8,50389;8,42561;8,40997;8,38647;8,38647;8,32387;8,34734;8,42561;8,37865;8,37082;8,43344;8,36299;8,49608;8,45692;8,44128
136;11.03.2024 00:00:00;8,48824;8,50389;8,5352;8,48041;8,46477;8,38647;8,49608;8,52739;8,46477;8,1673;8,44128;8,45692;8,19078;8,43344;8,49608;8,42561;8,21426;8,51172;8,59;8,48041;3,24;3,642
137;12.03.2024 00:00:00;8,45692;8,46477;8,5352;8,47258;8,4491;8,40997;8,45692;8,48824;8,42561;8,19861;8,41779;8,40997;8,24557;8,40213;8,4491;8,3943;8,2534;8,49608;8,54305;8,48041
138;13.03.2024 00:00:00;8,40997;8,40997;8,48041;8,41779;8,3943;8,34734;8,41779;8,43344;8,37082;8,14383;8,36299;8,35518;8,18295;8,35518;8,3943;8,35518;8,19078;8,44128;8,49608;8,43344
139;14.03.2024 00:00:00;8,51956;8,5352;8,58218;8,51956;8,49608;8,45692;8,52739;8,5352;8,47258;8,22992;8,47258;8,45692;8,26906;8,45692;8,49608;8,4491;8,28471;8,55087;8,59784;8,52739
140;15.03.2024 00:00:00;9,09889;9,10674;9,16937;9,13805;9,13805;9,17719;9,16937;9,11456;9,06758;9,01277;9,07541;9,0206;9,05193;9,09889;9,06758;9,06758;9,0206;9,20851;9,17719;9,10674
141;16.03.2024 00:00:00;9,61569;9,61569;9,694;9,64702;9,65485;9,67834;9,694;9,63919;9,58437;9,4904;9,60786;9,53738;9,54521;9,63136;9,59219;9,57654;9,5139;9,73315;9,694;9,63919
142;17.03.2024 00:00:00;9,63919;9,65485;9,7175;9,66269;9,66269;9,694;9,73315;9,66269;9,60786;9,4904;9,64702;9,56871;9,52956;9,65485;9,63136;9,58437;9,5139;9,76448;9,73315;9,65485
143;18.03.2024 00:00:00;9,85062;9,85846;9,92111;9,88979;9,88979;9,92896;9,93677;9,87413;9,81148;9,76448;9,8428;9,77231;9,81148;9,85846;9,81929;9,82713;9,76448;9,97594;9,92896;9,87413
144;19.03.2024 00:00:00;9,67834;9,694;9,74883;9,694;9,694;9,7175;9,74883;9,70966;9,64702;9,52956;9,67834;9,61569;9,58437;9,68617;9,66269;9,62352;9,56087;9,78796;9,76448;9,70183
145;20.03.2024 00:00:00;9,73315;9,75665;9,81148;9,75665;9,74883;9,7175;9,79581;9,76448;9,694;9,50606;9,73315;9,67834;9,54521;9,70966;9,72533;9,66269;9,54521;9,81148;9,83496;9,73315
146;21.03.2024 00:00:00;10,1796;10,2266;10,2892;10,2187;10,2031;10,1326;10,2266;10,2736;10,1796;9,88194;10,2579;10,1874;10,0073;10,1482;10,2501;10,1639;10,0151;10,2422;10,2971;10,2501;4,65;3,644
147;22.03.2024 00:00:00;10,3362;10,3754;10,2892;10,3519;10,3519;10,2657;10,3832;10,3206;10,3284;9,98376;10,3519;10,3206;10,1326;10,3127;10,3676;10,2971;10,1639;10,3989;10,438;10,2657
148;23.03.2024 00:00:00;10,3597;10,3989;10,3754;10,3989;10,3911;10,3362;10,438;10,3911;10,3754;10,0699;10,4224;10,3676;10,2109;10,3597;10,4224;10,3519;10,2266;10,4615;10,4694;10,3362
149;24.03.2024 00:00:00;9,37296;9,39644;9,37296;9,39644;9,39644;9,31815;9,41209;9,40427;9,38077;9,06758;9,37296;9,38861;9,18503;9,37296;9,41209;9,34944;9,22418;9,47473;9,45908;9,31815
